id,name_zh,name_en,name_bn,category_group,category,parent_site,division,district,upazila_or_thana,latitude,longitude,address,description_zh,opening_hours,ticket_price,best_season,transport,contact,website,image_url,source_urls,source_type,verification_status,last_verified,notes
BD-POI-0011,,Puthia Temple Complex,,宗教与考古,Temple complex,Puthia,Rajshahi,Rajshahi,Puthia,,,,Puthia Temple Complex位于孟加拉国Rajshahi大区的Rajshahi，在本数据集中归为“宗教与考古”。开放、通行和许可信息可能随季节或管理政策变化，出行前应向主管部门复核。,,,全年；通常11月至次年3月天气较舒适,出发前通过当地旅游部门或地图服务核实路线,,,,https://beautifulbangladesh.gov.bd/,Bangladesh Tourism Board directory,旅游局目录匹配；坐标待补,2026-07-11,开放时间、门票和通行许可具有时效性，未获可靠来源时留空。
BD-POI-0012,,Puthia Rajbari,,历史文化,Palace,Puthia,Rajshahi,Rajshahi,Puthia,24.3616756,88.8364576,,Puthia Rajbari位于孟加拉国Rajshahi大区的Rajshahi，在本数据集中归为“历史文化”。开放、通行和许可信息可能随季节或管理政策变化，出行前应向主管部门复核。,,,全年；通常11月至次年3月天气较舒适,出发前通过当地旅游部门或地图服务核实路线,,,,https://beautifulbangladesh.gov.bd/ | https://www.openstreetmap.org/?mlat=24.3616756&mlon=88.8364576#map=15/24.3616756/88.8364576,Bangladesh Tourism Board directory | OpenStreetMap Photon,旅游局目录匹配；OSM坐标自动匹配（待人工复核）,2026-07-11,开放时间、门票和通行许可具有时效性，未获可靠来源时留空。
BD-POI-0013,,Bagha Mosque,,宗教与考古,Historic mosque,,Rajshahi,Rajshahi,Bagha,24.1960601,88.8394571,,Bagha Mosque位于孟加拉国Rajshahi大区的Rajshahi，在本数据集中归为“宗教与考古”。开放、通行和许可信息可能随季节或管理政策变化，出行前应向主管部门复核。,,,全年；通常11月至次年3月天气较舒适,出发前通过当地旅游部门或地图服务核实路线,,,,https://beautifulbangladesh.gov.bd/ | https://www.openstreetmap.org/?mlat=24.1960601&mlon=88.8394571#map=15/24.1960601/88.8394571,Bangladesh Tourism Board directory | OpenStreetMap Photon,旅游局目录匹配；OSM坐标自动匹配（待人工复核）,2026-07-11,开放时间、门票和通行许可具有时效性，未获可靠来源时留空。
BD-POI-0014,,Choto Sona Mosque,,宗教与考古,Historic mosque,,Rajshahi,Chapainawabganj,Shibganj,,,,Choto Sona Mosque位于孟加拉国Rajshahi大区的Chapainawabganj，在本数据集中归为“宗教与考古”。开放、通行和许可信息可能随季节或管理政策变化，出行前应向主管部门复核。,,,全年；通常11月至次年3月天气较舒适,出发前通过当地旅游部门或地图服务核实路线,,,,https://beautifulbangladesh.gov.bd/,Bangladesh Tourism Board directory,旅游局目录匹配；坐标待补,2026-07-11,开放时间、门票和通行许可具有时效性，未获可靠来源时留空。
BD-POI-0015,,Kusumba Mosque,,宗教与考古,Historic mosque,,Rajshahi,Naogaon,Manda,24.7557248,88.6867454,,Kusumba Mosque位于孟加拉国Rajshahi大区的Naogaon，在本数据集中归为“宗教与考古”。开放、通行和许可信息可能随季节或管理政策变化，出行前应向主管部门复核。,,,全年；通常11月至次年3月天气较舒适,出发前通过当地旅游部门或地图服务核实路线,,,,https://beautifulbangladesh.gov.bd/ | https://www.openstreetmap.org/?mlat=24.7557248&mlon=88.6867454#map=15/24.7557248/88.6867454,Bangladesh Tourism Board directory | OpenStreetMap Photon,旅游局目录匹配；OSM坐标自动匹配（待人工复核）,2026-07-11,开放时间、门票和通行许可具有时效性，未获可靠来源时留空。
BD-POI-0016,,Varendra Research Museum,,博物馆与纪念地,Museum,,Rajshahi,Rajshahi,Boalia,24.3670593,88.5924937,,Varendra Research Museum位于孟加拉国Rajshahi大区的Rajshahi，在本数据集中归为“博物馆与纪念地”。开放、通行和许可信息可能随季节或管理政策变化，出行前应向主管部门复核。,,,全年；通常11月至次年3月天气较舒适,出发前通过当地旅游部门或地图服务核实路线,,,,https://beautifulbangladesh.gov.bd/ | https://www.openstreetmap.org/?mlat=24.3670593&mlon=88.5924937#map=15/24.3670593/88.5924937,Bangladesh Tourism Board directory | OpenStreetMap Photon,旅游局目录匹配；OSM坐标自动匹配（待人工复核）,2026-07-11,开放时间、门票和通行许可具有时效性，未获可靠来源时留空。
BD-POI-0017,,Natore Rajbari,,历史文化,Palace,,Rajshahi,Natore,Natore Sadar,24.4200054,88.9915369,,Natore Rajbari位于孟加拉国Rajshahi大区的Natore，在本数据集中归为“历史文化”。开放、通行和许可信息可能随季节或管理政策变化，出行前应向主管部门复核。,,,全年；通常11月至次年3月天气较舒适,出发前通过当地旅游部门或地图服务核实路线,,,,https://beautifulbangladesh.gov.bd/ | https://www.openstreetmap.org/?mlat=24.4200054&mlon=88.9915369#map=15/24.4200054/88.9915369,Bangladesh Tourism Board directory | OpenStreetMap Photon,旅游局目录匹配；OSM坐标自动匹配（待人工复核）,2026-07-11,开放时间、门票和通行许可具有时效性，未获可靠来源时留空。
BD-POI-0018,,Uttara Ganabhaban,,历史文化,Palace / heritage,,Rajshahi,Natore,Natore Sadar,24.4400361,89.0097352,,Uttara Ganabhaban位于孟加拉国Rajshahi大区的Natore，在本数据集中归为“历史文化”。开放、通行和许可信息可能随季节或管理政策变化，出行前应向主管部门复核。,,,全年；通常11月至次年3月天气较舒适,出发前通过当地旅游部门或地图服务核实路线,,,,https://beautifulbangladesh.gov.bd/ | https://www.openstreetmap.org/?mlat=24.4400361&mlon=89.0097352#map=15/24.4400361/89.0097352,Bangladesh Tourism Board directory | OpenStreetMap Photon,旅游局目录匹配；OSM坐标自动匹配（待人工复核）,2026-07-11,开放时间、门票和通行许可具有时效性，未获可靠来源时留空。
BD-POI-0019,,"Rabindra Kachharibari, Patisar",,历史文化,Historic house,,Rajshahi,Naogaon,Atrai,,,,"Rabindra Kachharibari, Patisar位于孟加拉国Rajshahi大区的Naogaon，在本数据集中归为“历史文化”。开放、通行和许可信息可能随季节或管理政策变化，出行前应向主管部门复核。",,,全年；通常11月至次年3月天气较舒适,出发前通过当地旅游部门或地图服务核实路线,,,,https://beautifulbangladesh.gov.bd/,Bangladesh Tourism Board directory,旅游局目录匹配；坐标待补,2026-07-11,开放时间、门票和通行许可具有时效性，未获可靠来源时留空。
BD-POI-0020,,Chalan Beel,,河流湖泊与湿地,Wetland,,Rajshahi,"Natore, Pabna, Sirajganj",,24.6616409,88.9314890,,"Chalan Beel位于孟加拉国Rajshahi大区的Natore, Pabna, Sirajganj，在本数据集中归为“河流湖泊与湿地”。开放、通行和许可信息可能随季节或管理政策变化，出行前应向主管部门复核。",,,雨季至雨季后（约6–11月）；出行前核实水位与安全情况,出发前通过当地旅游部门或地图服务核实路线,,,,https://beautifulbangladesh.gov.bd/ | https://www.openstreetmap.org/?mlat=24.6616409&mlon=88.931489#map=15/24.6616409/88.931489,Bangladesh Tourism Board directory | OpenStreetMap Photon,旅游局目录匹配；OSM坐标自动匹配（待人工复核）,2026-07-11,开放时间、门票和通行许可具有时效性，未获可靠来源时留空。
BD-POI-0021,,Kantajew Temple,,宗教与考古,Historic temple,,Rangpur,Dinajpur,Kaharole,,,,Kantajew Temple位于孟加拉国Rangpur大区的Dinajpur，在本数据集中归为“宗教与考古”。开放、通行和许可信息可能随季节或管理政策变化，出行前应向主管部门复核。,,,全年；通常11月至次年3月天气较舒适,出发前通过当地旅游部门或地图服务核实路线,,,,https://beautifulbangladesh.gov.bd/,Bangladesh Tourism Board directory,旅游局目录匹配；坐标待补,2026-07-11,开放时间、门票和通行许可具有时效性，未获可靠来源时留空。
BD-POI-0022,,Ramsagar National Park,,河流湖泊与湿地,National park / reservoir,,Rangpur,Dinajpur,Dinajpur Sadar,25.5545733,88.6256084,,Ramsagar National Park位于孟加拉国Rangpur大区的Dinajpur，在本数据集中归为“河流湖泊与湿地”。开放、通行和许可信息可能随季节或管理政策变化，出行前应向主管部门复核。,,,旱季（约11月至次年3月）,出发前通过当地旅游部门或地图服务核实路线,,,,https://beautifulbangladesh.gov.bd/ | https://www.openstreetmap.org/?mlat=25.5545733&mlon=88.6256084#map=15/25.5545733/88.6256084,Bangladesh Tourism Board directory | OpenStreetMap Photon,旅游局目录匹配；OSM坐标自动匹配（待人工复核）,2026-07-11,开放时间、门票和通行许可具有时效性，未获可靠来源时留空。
BD-POI-0023,,Tajhat Palace,,历史文化,Palace / museum,,Rangpur,Rangpur,Rangpur Sadar,,,,Tajhat Palace位于孟加拉国Rangpur大区的Rangpur，在本数据集中归为“历史文化”。开放、通行和许可信息可能随季节或管理政策变化，出行前应向主管部门复核。,,,全年；通常11月至次年3月天气较舒适,出发前通过当地旅游部门或地图服务核实路线,,,,https://beautifulbangladesh.gov.bd/,Bangladesh Tourism Board directory,旅游局目录匹配；坐标待补,2026-07-11,开放时间、门票和通行许可具有时效性，未获可靠来源时留空。
BD-POI-0024,,Nilsagar,,河流湖泊与湿地,Lake,,Rangpur,Nilphamari,Nilphamari Sadar,,,,Nilsagar位于孟加拉国Rangpur大区的Nilphamari，在本数据集中归为“河流湖泊与湿地”。开放、通行和许可信息可能随季节或管理政策变化，出行前应向主管部门复核。,,,全年；通常11月至次年3月天气较舒适,出发前通过当地旅游部门或地图服务核实路线,,,,https://beautifulbangladesh.gov.bd/,Bangladesh Tourism Board directory,旅游局目录匹配；坐标待补,2026-07-11,开放时间、门票和通行许可具有时效性，未获可靠来源时留空。
BD-POI-0025,,Teesta Barrage,,山地与瀑布,Barrage / viewpoint,,Rangpur,"Lalmonirhat, Nilphamari","Hatibandha, Dimla",26.1787234,89.0516703,,"Teesta Barrage位于孟加拉国Rangpur大区的Lalmonirhat, Nilphamari，在本数据集中归为“山地与瀑布”。开放、通行和许可信息可能随季节或管理政策变化，出行前应向主管部门复核。",,,全年；通常11月至次年3月天气较舒适,出发前通过当地旅游部门或地图服务核实路线,,,,https://beautifulbangladesh.gov.bd/ | https://www.lalmonirhat.gov.bd/en/site/tourist_spot/oWYp-%E0%A6%A4%E0%A6%BF%E0%A6%B8%E0%A7%8D%E0%A6%A4%E0%A6%BE-%E0%A6%AC%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%B0%E0%A7%87%E0%A6%9C-%E0%A6%93-%E0%A6%85%E0%A6%AC%E0%A6%B8%E0%A6%B0--%E0%A6%B0%E0%A7%87%E0%A6%B8%E0%A7%8D%E0%A6%9F-%E0%A6%B9%E0%A6%BE%E0%A6%89%E0%A6%9C | https://www.openstreetmap.org/?mlat=26.1787234&mlon=89.0516703#map=15/26.1787234/89.0516703,Bangladesh Tourism Board directory | specific authoritative source | OpenStreetMap Photon,景点级权威来源已核实；OSM坐标自动匹配（待人工复核）,2026-07-11,开放时间、门票和通行许可具有时效性，未获可靠来源时留空。
BD-POI-0026,,Bhitargarh,,历史文化,Archaeological site,,Rangpur,Panchagarh,Panchagarh Sadar,26.4434484,88.6126783,,Bhitargarh位于孟加拉国Rangpur大区的Panchagarh，在本数据集中归为“历史文化”。开放、通行和许可信息可能随季节或管理政策变化，出行前应向主管部门复核。,,,全年；通常11月至次年3月天气较舒适,出发前通过当地旅游部门或地图服务核实路线,,,,https://beautifulbangladesh.gov.bd/ | https://www.openstreetmap.org/?mlat=26.4434484&mlon=88.6126783#map=15/26.4434484/88.6126783,Bangladesh Tourism Board directory | OpenStreetMap Photon,旅游局目录匹配；OSM坐标自动匹配（待人工复核）,2026-07-11,开放时间、门票和通行许可具有时效性，未获可靠来源时留空。
BD-POI-0027,,Tetulia Dak Bungalow and Picnic Corner,,山地与瀑布,Landscape / viewpoint,,Rangpur,Panchagarh,Tetulia,,,,Tetulia Dak Bungalow and Picnic Corner位于孟加拉国Rangpur大区的Panchagarh，在本数据集中归为“山地与瀑布”。开放、通行和许可信息可能随季节或管理政策变化，出行前应向主管部门复核。,,,全年；通常11月至次年3月天气较舒适,出发前通过当地旅游部门或地图服务核实路线,,,,https://beautifulbangladesh.gov.bd/,Bangladesh Tourism Board directory,旅游局目录匹配；坐标待补,2026-07-11,开放时间、门票和通行许可具有时效性，未获可靠来源时留空。
BD-POI-0028,,Sitakot Vihara,,历史文化,Archaeological site,,Rangpur,Dinajpur,Nawabganj,25.4141965,89.0515339,,Sitakot Vihara位于孟加拉国Rangpur大区的Dinajpur，在本数据集中归为“历史文化”。开放、通行和许可信息可能随季节或管理政策变化，出行前应向主管部门复核。,,,全年；通常11月至次年3月天气较舒适,出发前通过当地旅游部门或地图服务核实路线,,,,https://beautifulbangladesh.gov.bd/ | https://www.openstreetmap.org/?mlat=25.4141965&mlon=89.0515339#map=15/25.4141965/89.0515339,Bangladesh Tourism Board directory | OpenStreetMap Photon,旅游局目录匹配；OSM坐标自动匹配（待人工复核）,2026-07-11,开放时间、门票和通行许可具有时效性，未获可靠来源时留空。
BD-POI-0029,,Begum Rokeya Memorial,,博物馆与纪念地,Memorial / museum,,Rangpur,Rangpur,Mithapukur,,,,Begum Rokeya Memorial位于孟加拉国Rangpur大区的Rangpur，在本数据集中归为“博物馆与纪念地”。开放、通行和许可信息可能随季节或管理政策变化，出行前应向主管部门复核。,,,全年；通常11月至次年3月天气较舒适,出发前通过当地旅游部门或地图服务核实路线,,,,https://beautifulbangladesh.gov.bd/,Bangladesh Tourism Board directory,旅游局目录匹配；坐标待补,2026-07-11,开放时间、门票和通行许可具有时效性，未获可靠来源时留空。
BD-POI-0030,,Lalbagh Fort,,历史文化,Historic fort,,Dhaka,Dhaka,Lalbagh,23.7188430,90.3881528,,Lalbagh Fort位于孟加拉国Dhaka大区的Dhaka，在本数据集中归为“历史文化”。开放、通行和许可信息可能随季节或管理政策变化，出行前应向主管部门复核。,,,全年；通常11月至次年3月天气较舒适,出发前通过当地旅游部门或地图服务核实路线,,,,https://beautifulbangladesh.gov.bd/ | https://www.openstreetmap.org/?mlat=23.718843&mlon=90.3881528#map=15/23.718843/90.3881528,Bangladesh Tourism Board directory | OpenStreetMap Photon,旅游局目录匹配；OSM坐标自动匹配（待人工复核）,2026-07-11,开放时间、门票和通行许可具有时效性，未获可靠来源时留空。
BD-POI-0031,阿赫桑曼济勒,Ahsan Manzil,আহসান মঞ্জিল,历史文化,Palace / museum,,Dhaka,Dhaka,Kotwali,23.7086111,90.4061111,,Ahsan Manzil位于孟加拉国Dhaka大区的Dhaka，在本数据集中归为“历史文化”。开放、通行和许可信息可能随季节或管理政策变化，出行前应向主管部门复核。,,,全年；通常11月至次年3月天气较舒适,出发前通过当地旅游部门或地图服务核实路线,,,https://commons.wikimedia.org/wiki/Special:FilePath/DJI_0760_%28_Ahsan_Manzil%29.jpg,https://beautifulbangladesh.gov.bd/ | https://www.wikidata.org/wiki/Q402937,Bangladesh Tourism Board directory | Wikidata,旅游局目录匹配；Wikidata坐标自动匹配（待人工复核）,2026-07-11,开放时间、门票和通行许可具有时效性，未获可靠来源时留空。
BD-POI-0032,,Bangladesh National Parliament House,,博物馆与纪念地,Modern architecture,,Dhaka,Dhaka,Sher-e-Bangla Nagar,23.7622884,90.3785482,,Bangladesh National Parliament House位于孟加拉国Dhaka大区的Dhaka，在本数据集中归为“博物馆与纪念地”。开放、通行和许可信息可能随季节或管理政策变化，出行前应向主管部门复核。,,,全年；通常11月至次年3月天气较舒适,出发前通过当地旅游部门或地图服务核实路线,,,,https://beautifulbangladesh.gov.bd/ | https://www.openstreetmap.org/?mlat=23.7622884&mlon=90.3785482#map=15/23.7622884/90.3785482,Bangladesh Tourism Board directory | OpenStreetMap Photon,旅游局目录匹配；OSM坐标自动匹配（待人工复核）,2026-07-11,开放时间、门票和通行许可具有时效性，未获可靠来源时留空。
BD-POI-0033,孟加拉国烈士纪念碑,Jatiyo Smriti Soudho,জাতীয় স্মৃতিসৌধ,博物馆与纪念地,National memorial,,Dhaka,Dhaka,Savar,23.9113000,90.2547000,,National Martyrs' Memorial位于孟加拉国Dhaka大区的Dhaka，在本数据集中归为“博物馆与纪念地”。开放、通行和许可信息可能随季节或管理政策变化，出行前应向主管部门复核。,,,全年；通常11月至次年3月天气较舒适,出发前通过当地旅游部门或地图服务核实路线,,,https://commons.wikimedia.org/wiki/Special:FilePath/National_Martyrs%E2%80%99_Memorial_08.jpg,https://beautifulbangladesh.gov.bd/ | https://www.wikidata.org/wiki/Q3351595,Bangladesh Tourism Board directory | Wikidata,旅游局目录匹配；Wikidata坐标自动匹配（待人工复核）,2026-07-11,开放时间、门票和通行许可具有时效性，未获可靠来源时留空。
BD-POI-0034,,Central Shaheed Minar,কেন্দ্রীয় শহীদ মিনার,博物馆与纪念地,National memorial,,Dhaka,Dhaka,Shahbag,23.7272114,90.3966368,,Central Shaheed Minar位于孟加拉国Dhaka大区的Dhaka，在本数据集中归为“博物馆与纪念地”。开放、通行和许可信息可能随季节或管理政策变化，出行前应向主管部门复核。,,,全年；通常11月至次年3月天气较舒适,出发前通过当地旅游部门或地图服务核实路线,,,https://commons.wikimedia.org/wiki/Special:FilePath/Chattogram_Central_Shaheed_Minar_-_3.jpg,https://beautifulbangladesh.gov.bd/ | https://www.wikidata.org/wiki/Q31727164 | https://www.openstreetmap.org/?mlat=23.7272114&mlon=90.3966368#map=15/23.7272114/90.3966368,Bangladesh Tourism Board directory | Wikidata | OpenStreetMap Photon,旅游局目录匹配；OSM坐标自动匹配（待人工复核）,2026-07-11,开放时间、门票和通行许可具有时效性，未获可靠来源时留空。
BD-POI-0035,孟加拉国国家博物馆,Bangladesh National Museum,বাংলাদেশ জাতীয় জাদুঘর,博物馆与纪念地,Museum,,Dhaka,Dhaka,Shahbag,23.7375500,90.3941000,,Bangladesh National Museum位于孟加拉国Dhaka大区的Dhaka，在本数据集中归为“博物馆与纪念地”。开放、通行和许可信息可能随季节或管理政策变化，出行前应向主管部门复核。,,,全年；通常11月至次年3月天气较舒适,出发前通过当地旅游部门或地图服务核实路线,,,https://commons.wikimedia.org/wiki/Special:FilePath/DG_91_-_09_NATIONAL_MUSEUM_DHAKA_IMG_31782.jpg,https://beautifulbangladesh.gov.bd/ | https://www.wikidata.org/wiki/Q51876,Bangladesh Tourism Board directory | Wikidata,旅游局目录匹配；Wikidata坐标自动匹配（待人工复核）,2026-07-11,开放时间、门票和通行许可具有时效性，未获可靠来源时留空。
BD-POI-0036,,Liberation War Museum,,博物馆与纪念地,Museum,,Dhaka,Dhaka,Sher-e-Bangla Nagar,23.7755648,90.3694298,,Liberation War Museum位于孟加拉国Dhaka大区的Dhaka，在本数据集中归为“博物馆与纪念地”。开放、通行和许可信息可能随季节或管理政策变化，出行前应向主管部门复核。,,,全年；通常11月至次年3月天气较舒适,出发前通过当地旅游部门或地图服务核实路线,,,,https://beautifulbangladesh.gov.bd/ | https://liberationwarmuseumbd.org/page/contact-us | https://www.openstreetmap.org/?mlat=23.7755648&mlon=90.3694298#map=15/23.7755648/90.3694298,Bangladesh Tourism Board directory | specific authoritative source | OpenStreetMap Photon,景点级权威来源已核实；OSM坐标自动匹配（待人工复核）,2026-07-11,开放时间、门票和通行许可具有时效性，未获可靠来源时留空。
BD-POI-0037,,Dhakeshwari Temple,,宗教与考古,Temple,,Dhaka,Dhaka,Lalbagh,,,,Dhakeshwari Temple位于孟加拉国Dhaka大区的Dhaka，在本数据集中归为“宗教与考古”。开放、通行和许可信息可能随季节或管理政策变化，出行前应向主管部门复核。,,,全年；通常11月至次年3月天气较舒适,出发前通过当地旅游部门或地图服务核实路线,,,,https://beautifulbangladesh.gov.bd/,Bangladesh Tourism Board directory,旅游局目录匹配；坐标待补,2026-07-11,开放时间、门票和通行许可具有时效性，未获可靠来源时留空。
